"language_code","english_full_name","chinese_full_name"
"oc","Occitan","奥克语"
"oj","Ojibwa","奥吉布瓦语"
"om","Oromo","奥罗莫语"
"nv","Navajo","纳瓦霍语"
"ny","Chichewa","齐切瓦语"
"oc","Occitan","奥克语"
"oj","Ojibwa","奥吉布瓦语"
"om","Oromo","奥罗莫语"
"or","Oriya","奥里亚语"
"os","Ossetian","奥塞梯语"
"pa","Punjabi","旁遮普语"
"pi","Pali","巴利语"
"pl","Polish","波兰语"
"or","Oriya","奥里亚语"
"os","Ossetian","奥塞梯语"
"pa","Punjabi","旁遮普语"
"pi","Pali","巴利语"
"pl","Polish","波兰语"
"ps","Pushto","普什图语"
"pt","Portuguese","葡萄牙语"
"qu","Quechua","克丘亚语"
"rm","Romansh","罗曼什语"
"ps","Pushto","普什图语"
"pt","Portuguese","葡萄牙语"
"qu","Quechua","克丘亚语"
"rm","Romansh","罗曼什语"
"sc","Sardinian","撒丁语"
"sd","Sindhi","信德语"
"se","Northern Sami","北萨米语"
"sg","Sango","桑戈语"
"sc","Sardinian","撒丁语"
"sd","Sindhi","信德语"
"se","Northern Sami","北萨米语"
"sg","Sango","桑戈语"
"sc","Sardinian","撒丁语"
"sd","Sindhi","信德语"
"se","Northern Sami","北萨米语"
"sg","Sango","桑戈语"
"tl","Tagalog","他加禄语"
"tn","Tswana","茨瓦纳语"
"to","Tonga","汤加语"
"tr","Turkish","土耳其语"
"ts","Tsonga","聪加语"
"tt","Tatar","鞑靼语"
"tw","Twi","契维语"
"ty","Tahitian","塔希提语"
"ug","Uighur","维吾尔语"
"ts","Tsonga","聪加语"
"tt","Tatar","鞑靼语"
"tw","Twi","契维语"
"ty","Tahitian","塔希提语"
"ug","Uighur","维吾尔语"
"uk","Ukrainian","乌克兰语"
"ur","Urdu","乌尔都语"
"uz","Uzbek","乌兹别克语"
"ve","Venda","文达语"
"yi","Yiddish","意第绪语"
"yo","Yoruba","约鲁巴语"
"za","Zhuang","壮语"
"zh","Chinese","中文"
"zu","Zulu","祖鲁语"
"aa","Afar","阿法尔语"
"ab","Abkhazian","阿布哈西亚语"
"af","Afrikaans","南非荷兰语"
"ak","Akan","阿坎语"
"ay","Aymara","艾马拉语"
"az","Azerbaijani","阿塞拜疆语"
"ba","Bashkir","巴什基尔语"
"be","Belarusian","白俄罗斯语"
"bo","Tibetan","藏语"
"br","Breton","布列塔尼语"
"bs","Bosnian","波斯尼亚语"
"ca","Catalan","加泰罗尼亚语"
"ce","Chechen","车臣语"
"ch","Chamorro","查莫罗语"
"co","Corsican","科西嘉语"
"cr","Cree","克里语"
"cs","Czech","捷克语"
"dv","Divehi","迪维希语"
"dz","Dzongkha","宗卡语"
"ee","Ewe","埃维语"
"el","Greek","希腊语"
"fa","Persian","波斯语"
"ff","Fulah","富拉语"
"fi","Finnish","芬兰语"
"fj","Fijian","斐济语"
"st","Southern Sotho","南索托语"
"su","Sundanese","巽他语"
"sv","Swedish","瑞典语"
"sw","Swahili","斯瓦希里语"
"ta","Tamil","泰米尔语"
"am","Amharic","阿姆哈拉语"
"ar","Arabic","阿拉伯语"
"an","Aragonese","阿拉贡语"
"as","Assamese","阿萨姆语"
"av","Avaric","阿瓦尔语"
"ay","Aymara","艾马拉语"
"az","Azerbaijani","阿塞拜疆语"
"ba","Bashkir","巴什基尔语"
"be","Belarusian","白俄罗斯语"
"bg","Bulgarian","保加利亚语"
"bh","Bihari","比哈尔语"
"bi","Bislama","比斯拉马语"
"bm","Bambara","班巴拉语"
"bn","Bengali","孟加拉语"
"bo","Tibetan","藏语"
"br","Breton","布列塔尼语"
"bs","Bosnian","波斯尼亚语"
"ca","Catalan","加泰罗尼亚语"
"cu","Old Church Slavonic","古教会斯拉夫语"
"cv","Chuvash","楚瓦什语"
"cy","Welsh","威尔士语"
"da","Danish","丹麦语"
"de","German","德语"
"dv","Divehi","迪维希语"
"dz","Dzongkha","宗卡语"
"ee","Ewe","埃维语"
"el","Greek","希腊语"
"aa","Afar","阿法尔语"
"ab","Abkhazian","阿布哈西亚语"
"af","Afrikaans","南非荷兰语"
"ak","Akan","阿坎语"
"fa","Persian","波斯语"
"ff","Fulah","富拉语"
"fi","Finnish","芬兰语"
"fj","Fijian","斐济语"
"fa","Persian","波斯语"
"ff","Fulah","富拉语"
"fi","Finnish","芬兰语"
"fj","Fijian","斐济语"
"am","Amharic","阿姆哈拉语"
"ar","Arabic","阿拉伯语"
"an","Aragonese","阿拉贡语"
"as","Assamese","阿萨姆语"
"av","Avaric","阿瓦尔语"
"bg","Bulgarian","保加利亚语"
"bh","Bihari","比哈尔语"
"bi","Bislama","比斯拉马语"
"bm","Bambara","班巴拉语"
"bn","Bengali","孟加拉语"
"id","Indonesian","印尼语"
"ie","Interlingue","西方国际语"
"ig","Igbo","伊博语"
"ii","Sichuan Yi","四川彝语"
"ce","Chechen","车臣语"
"ch","Chamorro","查莫罗语"
"co","Corsican","科西嘉语"
"cr","Cree","克里语"
"cs","Czech","捷克语"
"id","Indonesian","印尼语"
"ie","Interlingue","西方国际语"
"ig","Igbo","伊博语"
"ii","Sichuan Yi","四川彝语"
"cu","Old Church Slavonic","古教会斯拉夫语"
"cv","Chuvash","楚瓦什语"
"cy","Welsh","威尔士语"
"da","Danish","丹麦语"
"de","German","德语"
"id","Indonesian","印尼语"
"ie","Interlingue","西方国际语"
"ig","Igbo","伊博语"
"ii","Sichuan Yi","四川彝语"
"en","English","英语"
"eo","Esperanto","世界语"
"es","Spanish","西班牙语"
"et","Estonian","爱沙尼亚语"
"eu","Basque","巴斯克语"
"ik","Inupiaq","伊努皮克语"
"io","Ido","伊多语"
"is","Icelandic","冰岛语"
"it","Italian","意大利语"
"iu","Inuktitut","因纽特语"
"ik","Inupiaq","伊努皮克语"
"io","Ido","伊多语"
"is","Icelandic","冰岛语"
"it","Italian","意大利语"
"iu","Inuktitut","因纽特语"
"fo","Faroese","法罗语"
"fr","French","法语"
"fy","Western Frisian","西弗里西亚语"
"ga","Irish","爱尔兰语"
"gd","Scottish Gaelic","苏格兰盖尔语"
"ik","Inupiaq","伊努皮克语"
"io","Ido","伊多语"
"is","Icelandic","冰岛语"
"it","Italian","意大利语"
"iu","Inuktitut","因纽特语"
"fo","Faroese","法罗语"
"fr","French","法语"
"fy","Western Frisian","西弗里西亚语"
"ga","Irish","爱尔兰语"
"gd","Scottish Gaelic","苏格兰盖尔语"
"mr","Marathi","马拉地语"
"ms","Malay","马来语"
"mt","Maltese","马耳他语"
"my","Burmese","缅甸语"
"fo","Faroese","法罗语"
"fr","French","法语"
"fy","Western Frisian","西弗里西亚语"
"ga","Irish","爱尔兰语"
"gd","Scottish Gaelic","苏格兰盖尔语"
"gl","Galician","加利西亚语"
"gn","Guarani","瓜拉尼语"
"gu","Gujarati","古吉拉特语"
"gv","Manx","马恩岛语"
"gl","Galician","加利西亚语"
"gn","Guarani","瓜拉尼语"
"gu","Gujarati","古吉拉特语"
"gv","Manx","马恩岛语"
"na","Nauru","瑙鲁语"
"nb","Norwegian Bokmål","挪威布克莫尔语"
"nd","North Ndebele","北恩德贝莱语"
"ne","Nepali","尼泊尔语"
"ng","Ndonga","恩敦加语"
"gl","Galician","加利西亚语"
"gn","Guarani","瓜拉尼语"
"gu","Gujarati","古吉拉特语"
"gv","Manx","马恩岛语"
"na","Nauru","瑙鲁语"
"nb","Norwegian Bokmål","挪威布克莫尔语"
"nd","North Ndebele","北恩德贝莱语"
"ne","Nepali","尼泊尔语"
"ng","Ndonga","恩敦加语"
"ja","Japanese","日语"
"jv","Javanese","爪哇语"
"ka","Georgian","格鲁吉亚语"
"kg","Kongo","刚果语"
"nl","Dutch","荷兰语"
"nn","Norwegian Nynorsk","挪威尼诺斯克语"
"no","Norwegian","挪威语"
"nr","South Ndebele","南恩德贝莱语"
"ja","Japanese","日语"
"jv","Javanese","爪哇语"
"ka","Georgian","格鲁吉亚语"
"kg","Kongo","刚果语"
"ja","Japanese","日语"
"jv","Javanese","爪哇语"
"ka","Georgian","格鲁吉亚语"
"kg","Kongo","刚果语"
"ki","Kikuyu","基库尤语"
"kj","Kuanyama","宽亚玛语"
"kk","Kazakh","哈萨克语"
"kl","Kalaallisut","格陵兰语"
"km","Central Khmer","高棉语"
"ki","Kikuyu","基库尤语"
"kj","Kuanyama","宽亚玛语"
"kk","Kazakh","哈萨克语"
"kl","Kalaallisut","格陵兰语"
"km","Central Khmer","高棉语"
"nv","Navajo","纳瓦霍语"
"ny","Chichewa","齐切瓦语"
"oc","Occitan","奥克语"
"oj","Ojibwa","奥吉布瓦语"
"om","Oromo","奥罗莫语"
"or","Oriya","奥里亚语"
"os","Ossetian","奥塞梯语"
"pa","Punjabi","旁遮普语"
"pi","Pali","巴利语"
"pl","Polish","波兰语"
"rn","Rundi","隆迪语"
"ro","Romanian","罗马尼亚语"
"ru","Russian","俄语"
"rw","Kinyarwanda","卢旺达语"
"sa","Sanskrit","梵语"
"ki","Kikuyu","基库尤语"
"kj","Kuanyama","宽亚玛语"
"kk","Kazakh","哈萨克语"
"kl","Kalaallisut","格陵兰语"
"km","Central Khmer","高棉语"
"rn","Rundi","隆迪语"
"ro","Romanian","罗马尼亚语"
"ru","Russian","俄语"
"rw","Kinyarwanda","卢旺达语"
"sa","Sanskrit","梵语"
"kn","Kannada","卡纳达语"
"ko","Korean","韩语"
"kr","Kanuri","卡努里语"
"ks","Kashmiri","克什米尔语"
"kn","Kannada","卡纳达语"
"ko","Korean","韩语"
"kr","Kanuri","卡努里语"
"ks","Kashmiri","克什米尔语"
"si","Sinhala","僧伽罗语"
"sk","Slovak","斯洛伐克语"
"sl","Slovenian","斯洛文尼亚语"
"sm","Samoan","萨摩亚语"
"sn","Shona","绍纳语"
"si","Sinhala","僧伽罗语"
"sk","Slovak","斯洛伐克语"
"sl","Slovenian","斯洛文尼亚语"
"sm","Samoan","萨摩亚语"
"sn","Shona","绍纳语"
"kn","Kannada","卡纳达语"
"ko","Korean","韩语"
"kr","Kanuri","卡努里语"
"ks","Kashmiri","克什米尔语"
"si","Sinhala","僧伽罗语"
"sk","Slovak","斯洛伐克语"
"sl","Slovenian","斯洛文尼亚语"
"sm","Samoan","萨摩亚语"
"sn","Shona","绍纳语"
"ku","Kurdish","库尔德语"
"kv","Komi","科米语"
"kw","Cornish","康沃尔语"
"ky","Kirghiz","吉尔吉斯语"
"la","Latin","拉丁语"
"ku","Kurdish","库尔德语"
"kv","Komi","科米语"
"kw","Cornish","康沃尔语"
"ky","Kirghiz","吉尔吉斯语"
"la","Latin","拉丁语"
"so","Somali","索马里语"
"sq","Albanian","阿尔巴尼亚语"
"sr","Serbian","塞尔维亚语"
"ss","Swati","斯瓦特语"
"ku","Kurdish","库尔德语"
"kv","Komi","科米语"
"kw","Cornish","康沃尔语"
"ky","Kirghiz","吉尔吉斯语"
"la","Latin","拉丁语"
"lb","Luxembourgish","卢森堡语"
"lg","Ganda","卢干达语"
"li","Limburgan","林堡语"
"ln","Lingala","林加拉语"
"lo","Lao","老挝语"
"lb","Luxembourgish","卢森堡语"
"lg","Ganda","卢干达语"
"li","Limburgan","林堡语"
"ln","Lingala","林加拉语"
"lo","Lao","老挝语"
"lb","Luxembourgish","卢森堡语"
"lg","Ganda","卢干达语"
"li","Limburgan","林堡语"
"ln","Lingala","林加拉语"
"lo","Lao","老挝语"
"lt","Lithuanian","立陶宛语"
"lu","Luba-Katanga","卢巴-加丹加语"
"lv","Latvian","拉脱维亚语"
"mg","Malagasy","马尔加什语"
"lt","Lithuanian","立陶宛语"
"lu","Luba-Katanga","卢巴-加丹加语"
"lv","Latvian","拉脱维亚语"
"mg","Malagasy","马尔加什语"
"mr","Marathi","马拉地语"
"ms","Malay","马来语"
"mt","Maltese","马耳他语"
"my","Burmese","缅甸语"
"na","Nauru","瑙鲁语"
"nb","Norwegian Bokmål","挪威布克莫尔语"
"nd","North Ndebele","北恩德贝莱语"
"ne","Nepali","尼泊尔语"
"ng","Ndonga","恩敦加语"
"nl","Dutch","荷兰语"
"nn","Norwegian Nynorsk","挪威尼诺斯克语"
"no","Norwegian","挪威语"
"nr","South Ndebele","南恩德贝莱语"
"nl","Dutch","荷兰语"
"nn","Norwegian Nynorsk","挪威尼诺斯克语"
"no","Norwegian","挪威语"
"nr","South Ndebele","南恩德贝莱语"
"ps","Pushto","普什图语"
"pt","Portuguese","葡萄牙语"
"qu","Quechua","克丘亚语"
"rm","Romansh","罗曼什语"
"rn","Rundi","隆迪语"
"ro","Romanian","罗马尼亚语"
"ru","Russian","俄语"
"rw","Kinyarwanda","卢旺达语"
"sa","Sanskrit","梵语"
"so","Somali","索马里语"
"sq","Albanian","阿尔巴尼亚语"
"sr","Serbian","塞尔维亚语"
"ss","Swati","斯瓦特语"
"st","Southern Sotho","南索托语"
"su","Sundanese","巽他语"
"sv","Swedish","瑞典语"
"sw","Swahili","斯瓦希里语"
"ta","Tamil","泰米尔语"
"te","Telugu","泰卢固语"
"tg","Tajik","塔吉克语"
"th","Thai","泰语"
"ti","Tigrinya","提格里尼亚语"
"tk","Turkmen","土库曼语"
"te","Telugu","泰卢固语"
"tg","Tajik","塔吉克语"
"th","Thai","泰语"
"ti","Tigrinya","提格里尼亚语"
"tk","Turkmen","土库曼语"
"tl","Tagalog","他加禄语"
"tn","Tswana","茨瓦纳语"
"to","Tonga","汤加语"
"tr","Turkish","土耳其语"
"ts","Tsonga","聪加语"
"tt","Tatar","鞑靼语"
"tw","Twi","契维语"
"ty","Tahitian","塔希提语"
"ug","Uighur","维吾尔语"
"uk","Ukrainian","乌克兰语"
"ur","Urdu","乌尔都语"
"uz","Uzbek","乌兹别克语"
"ve","Venda","文达语"
"vi","Vietnamese","越南语"
"vo","Volapük","沃拉普克语"
"wa","Walloon","瓦隆语"
"wo","Wolof","沃洛夫语"
"xh","Xhosa","科萨语"
"yi","Yiddish","意第绪语"
"yo","Yoruba","约鲁巴语"
"za","Zhuang","壮语"
"zh","Chinese","中文"
"zu","Zulu","祖鲁语"
"so","Somali","索马里语"
"sq","Albanian","阿尔巴尼亚语"
"sr","Serbian","塞尔维亚语"
"ss","Swati","斯瓦特语"
"st","Southern Sotho","南索托语"
"su","Sundanese","巽他语"
"sv","Swedish","瑞典语"
"sw","Swahili","斯瓦希里语"
"ta","Tamil","泰米尔语"
"te","Telugu","泰卢固语"
"tg","Tajik","塔吉克语"
"th","Thai","泰语"
"ti","Tigrinya","提格里尼亚语"
"tk","Turkmen","土库曼语"
"tl","Tagalog","他加禄语"
"tn","Tswana","茨瓦纳语"
"to","Tonga","汤加语"
"tr","Turkish","土耳其语"
"uk","Ukrainian","乌克兰语"
"ur","Urdu","乌尔都语"
"uz","Uzbek","乌兹别克语"
"ve","Venda","文达语"
"vi","Vietnamese","越南语"
"vo","Volapük","沃拉普克语"
"wa","Walloon","瓦隆语"
"wo","Wolof","沃洛夫语"
"xh","Xhosa","科萨语"
"vi","Vietnamese","越南语"
"vo","Volapük","沃拉普克语"
"wa","Walloon","瓦隆语"
"wo","Wolof","沃洛夫语"
"xh","Xhosa","科萨语"
"yi","Yiddish","意第绪语"
"yo","Yoruba","约鲁巴语"
"za","Zhuang","壮语"
"zh","Chinese","中文"
"zu","Zulu","祖鲁语"
